SiteCode,Exclude,Exclude_reason,CABLE_PFT,Description,TowerStatus,Country,Fullname,SiteLatitude,SiteLongitude,SiteElevation,IGBP_vegetation_short,IGBP_vegetation_long,TowerHeight,CanopyHeight,Tier
DE-Tha,FALSE,NA,1,"20 km SW of Dresden.  Colocated stations: Wernersbach and Rotherdbach catchment, Rotherdbach tower","Active, core measurements presently being made",Germany,Tharandt,50.963611,13.56694,380,ENF,Evergreen Needleleaf Forests,42,NA,1
DE-Wet,NA,NA,1,"Wetzstein is currently Active, core measurements presently being made.  This site began collecting data in 2001 and is located in Germany.","Active, core measurements presently being made",Germany,Wetzstein,50.4535,11.45753,703,ENF,Evergreen Needleleaf Forest,NA,NA,NA
DE-Zrk,NA,NA,11,No description available,"Active, core measurements presently being made",Germany,Zarnekow,53.8759,12.889,0,WET,Permanent Wetlands,NA,NA,NA
DK-Eng,NA,NA,6,No description available,"Inactive, core measurements no longer being made",Denmark,Enghave,55.6905,12.1918,10,GRA,Grasslands,NA,NA,NA
DK-Fou,FALSE,NA,9,"Foulum is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Denmark.","Active, core measurements presently being made",Denmark,Foulum,56.4842,9.58722,51,CRO,Croplands,NA,NA,1
DK-Lva,NA,NA,NA,"Lille Valby (Rimi) is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Denmark.","Active, core measurements presently being made",Denmark,Lille Valby (Rimi),55.6833,12.0833,-2493,MF,Mixed Forests,NA,NA,NA
DK-MkA,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Denmark,Morke E-AR,56.38131,10.39461,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
DK-MkG,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Denmark,Morke E-PG,56.38178,10.40312,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
DK-MkR,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Denmark,Morke E-RG,56.38179,10.4006,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
DK-NuF,FALSE,NA,11,No description available,"Active, core measurements presently being made",Denmark,Nuuk Fen,64.130833,-51.38611,50,WET,Permanent Wetlands,NA,NA,1
DK-RCT,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Denmark,RisÌü Campus Tower,55.6941,12.08828,NA,NA,NA,NA,NA,NA
DK-RCW,NA,NA,9,No description available,"Active, core measurements presently being made",Denmark,RisÌü Campus Willow,55.68068,12.1014,NA,CRO,Croplands,NA,NA,NA
DK-Ris,NA,NA,9,"Risbyholm is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in Denmark.","Active, core measurements presently being made",Denmark,Risbyholm,55.53028,12.09722,24,CRO,Croplands,NA,NA,NA
DK-SkA,NA,NA,9,No description available,"Inactive, core measurements no longer being made",Denmark,Skjern W-AR,55.93777,8.44656,NA,CRO,Croplands,NA,NA,NA
DK-SkG,NA,NA,9,No description available,"Inactive, core measurements no longer being made",Denmark,Skjern W-PG,55.94116,8.44735,NA,CRO,Croplands,NA,NA,NA
DK-Sor,FALSE,NA,4,"Mediterranean/montane.  Site is subject to dominant winds from the west, with air masses coming from the Atlantic Ocean driven by low pressure systems bringing temperature and humid air and precipitation","Active, core measurements presently being made",Denmark,Soroe,55.485869,11.64464,40,DBF,Deciduous Broadleaf Forests,57,NA,1
DK-Sto,NA,NA,9,"Arable land, wheat","Inactive, core measurements no longer being made",Denmark,Store Ebberup,55.4833,11.6333,39,CRO,Croplands,NA,NA,NA
DK-SVA,NA,NA,9,No description available,"Inactive, core measurements no longer being made",Denmark,Store Vildmose N-AR,57.23313,9.84435,NA,CRO,Croplands,NA,NA,NA
DK-SVG,NA,NA,9,No description available,"Inactive, core measurements no longer being made",Denmark,Store Vildmose N-PG,57.22988,9.83291,NA,CRO,Croplands,NA,NA,NA
DK-SVR,NA,NA,9,No description available,"Inactive, core measurements no longer being made",Denmark,Store Vildmose N-RG,57.23312,9.84462,NA,CRO,Croplands,NA,NA,NA
DK-Ulb,NA,NA,NA,"Ulborg is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Denmark.","Active, core measurements presently being made",Denmark,Ulborg,56.29103,8.42803,39,MF,Mixed Forests,NA,NA,NA
DK-ZaF,FALSE,NA,11,No description available,"Active, core measurements presently being made",Denmark,Zackenberg Fen,74.4814,-20.5545,38,WET,Permanent Wetlands,NA,NA,1
DK-ZaH,FALSE,NA,6,No description available,"Active, core measurements presently being made",Denmark,Zackenberg Heath,74.4732,-20.5503,38,GRA,Grasslands,NA,NA,1
EC-APr,NA,NA,NA,"The Zhurucay Ecohydrological Observatory of the University of Cuenca is located in the head of a microcatchment of the ‰ÛÏCajas Massif UNESCO World Biosphere Reserve‰Û in Southern Ecuador. The site is a tropical alpine grassland of the northern Andes (highlands known as pÌÁramos). Dominant vegetation is tussock grasses (mainly Calamagrostis sp.), cushion plants, and small patches of Polylepis sp. forests and low shrubs. Geomorphology is a U-shaped valley formed by glaciation with an average slope of 17%. Soils types are Andosol (80%), Histosols (Andean wetlands) and Leptosols, all with high organic matter content (>30%) and high water retention (FC mean 0.64v/v). No temperature seasonality is present (mean annual 6å¡ C), seasonal precipitation is bimodal (mean annual 1154mm), radiation annual mean is 4970 MJ m-2, relative humidity annual mean is 94%, and prevailing winds from northeastern (annual mean speed 3.8 m s-1).","Active, core measurements presently being made",Ecuador,Zhurucay Ecohydrological Observatory ‰ÛÒ University of Cuenca,-3.06253,-79.23471,NA,NA,NA,NA,NA,NA
EE-Aar,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Estonia,Aardlapalu grassland,58.31305,26.74388,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
EE-Hi1,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Estonia,Hiiesoo abandoned peat extraction,59.3505,27.1008,NA,MF,Mixed Forests,NA,NA,NA
EE-Hi2,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Estonia,Hiiesoo active peat extraction,59.3519,27.1016,NA,MF,Mixed Forests,NA,NA,NA
EE-Jvs,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Estonia,JÌ_rvselja,58.27421,27.30995,NA,MF,Mixed Forests,NA,NA,NA
EE-Ka1,NA,NA,1,No description available,"Inactive, core measurements no longer being made",Estonia,Kasesoo abandoned peat extraction,59.1411,27.6531,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
EE-Ka2,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Estonia,Kasesoo active peat extraction,59.1459,27.6636,NA,MF,Mixed Forests,NA,NA,NA
EE-Ka3,NA,NA,1,No description available,"Inactive, core measurements no longer being made",Estonia,Kasesoo bog,59.1417,27.6778,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
EE-Ku1,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Estonia,Kuresoo bog wooded,58.4736,25.2125,NA,MF,Mixed Forests,NA,NA,NA
EE-Ku2,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Estonia,Kuresoo bog,58.4744,25.2008,NA,MF,Mixed Forests,NA,NA,NA
EE-Lv1,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Estonia,Lavassaare abandoned peat extraction,58.5727,24.3819,NA,MF,Mixed Forests,NA,NA,NA
EE-Lv2,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Estonia,Lavassaare drained fen,58.5719,24.3908,NA,MF,Mixed Forests,NA,NA,NA
EE-Lv3,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Estonia,Lavassaare grass cultivation,58.573,24.3858,NA,MF,Mixed Forests,NA,NA,NA
EE-Mam,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Estonia,Maima bog,58.5791,24.4266,NA,WSA,Woody Savannas,NA,NA,NA
EE-Pdv,NA,NA,9,No description available,"Inactive, core measurements no longer being made",Estonia,Pudivere grassland,59.0866,26.3744,NA,CRO,Croplands,NA,NA,NA
EE-Ph1,NA,NA,5,No description available,"Inactive, core measurements no longer being made",Estonia,Puhatu abandoned peat extraction,59.2658,27.6316,NA,CSH,Closed Shrublands,NA,NA,NA
EE-Ph2,NA,NA,5,No description available,"Inactive, core measurements no longer being made",Estonia,Puhatu active peat extraction,59.2659,27.6314,NA,CSH,Closed Shrublands,NA,NA,NA
EE-Rok,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Estonia,Roka,58.24534,27.29973,NA,MF,Mixed Forests,NA,NA,NA
EE-San,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Estonia,Sangla bog forest,58.32704,26.21819,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
EE-Vg1,NA,NA,1,No description available,"Inactive, core measurements no longer being made",Estonia,Valgeraba bog forest,58.43507,25.23629,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
EE-Vg2,NA,NA,1,No description available,"Inactive, core measurements no longer being made",Estonia,Valgeraba bog,58.43662,25.23675,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
ES-Agu,NA,NA,5,"Aguamarga is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Spain.","Active, core measurements presently being made",Spain,Aguamarga,36.94005,-2.03321,195,CSH,Closed Shrublands,NA,NA,NA
ES-Amo,NA,NA,5,"Amoladeras is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Spain.","Active, core measurements presently being made",Spain,Amoladeras,36.8336,-2.2523,58,OSH,Open Shrublands,NA,NA,NA
ES-AP1,NA,NA,NA,No description available,"Active, core measurements presently being made",Spain,AlmodÌ_var del Pinar 1,39.68098,-1.84241,NA,WSA,Woody Savannas,NA,NA,NA
ES-AP2,NA,NA,NA,No description available,"Active, core measurements presently being made",Spain,AlmodÌ_var del Pinar 2,39.67727,-1.84831,NA,WSA,Woody Savannas,NA,NA,NA
ES-CMb,NA,NA,NA,No description available,"Active, core measurements presently being made",Spain,Cuenca Las Majadas burned,40.25831,-1.96806,NA,WSA,Woody Savannas,NA,NA,NA
ES-CMu,NA,NA,1,No description available,"Active, core measurements presently being made",Spain,Cuenca Las Majadas unburned,40.25207,-1.96478,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
ES-CPa,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Spain,Cortes de Pallas,39.22417,-0.90305,NA,WSA,Woody Savannas,NA,NA,NA
ES-Cst,NA,NA,NA,No description available,"Active, core measurements presently being made",Spain,Castellar,42.30501,2.03357,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
ES-EBn,NA,NA,5,No description available,"Active, core measurements presently being made",Spain,El Bonillo,38.93707,-2.64402,NA,CSH,Closed Shrublands,NA,NA,NA
ES-ES1,NA,NA,11,"20 km S of Valencia, Parque natural de la Albufera, mediterranean subarid, coniferous forest","Active, core measurements presently being made",Spain,El Saler,39.34597,-0.31881,1,WET,Permanent Wetlands,NA,NA,NA
ES-ES2,NA,NA,NA,"El Saler-Sueca is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in Spain.","Active, core measurements presently being made",Spain,El Saler-Sueca,39.27556,-0.31528,7,CRO,Croplands,NA,NA,NA
ES-FtD,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Spain,FuenteDuque,36.99818,-6.43457,NA,NA,NA,NA,NA,NA
ES-Gdn,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Spain,Guadiana,37.91092,-3.22844,NA,CRO,Croplands,NA,NA,NA
ES-LBr,NA,NA,NA,No description available,"Active, core measurements presently being made",Spain,La Bertolina,42.09889,1.66139,NA,WSA,Woody Savannas,NA,NA,NA
ES-LgS,FALSE,NA,5,No description available,"Inactive, core measurements no longer being made",Spain,Laguna Seca,37.097936,-2.96583,2267,OSH,Open Shrublands,NA,NA,1
ES-LJu,NA,NA,NA,"Llano de los Juanes is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in Spain.","Active, core measurements presently being made",Spain,Llano de los Juanes,36.9266,-2.7521,1600,OSH,Open Shrublands,NA,NA,NA
ES-LM1,NA,NA,NA,No description available,"Active, core measurements presently being made",Spain,Majadas del Tietar North,39.94269,-5.77868,NA,SAV,Savannas,NA,NA,NA
ES-LM2,NA,NA,NA,No description available,"Active, core measurements presently being made",Spain,Majadas del Tietar South,39.94269,-5.77868,NA,WSA,Woody Savannas,NA,NA,NA
ES-LMa,NA,NA,NA,"Las Majadas del Tietar is currently Active, core measurements presently being made.  This site began collecting data in 2003 and is located in Spain.","Active, core measurements presently being made",Spain,Las Majadas del Tietar,39.9415,-5.77336,278,CSH,Closed Shrublands,NA,NA,NA
ES-Ln1,NA,NA,NA,NA,"Inactive, core measurements no longer being made",Spain,Lanjaron-Non intervention,36.9721,-3.47385,NA,CSH,Closed Shrublands,NA,NA,NA
ES-Ln2,FALSE,NA,5,NA,"Inactive, core measurements no longer being made",Spain,Lanjaron-Salvage logging,36.969502,-3.47582,2249,OSH,Open Shrublands,NA,NA,1
ES-MtN,NA,NA,NA,NA,"Inactive, core measurements no longer being made",Spain,MonteNegro,36.9918,-6.48263,NA,NA,NA,NA,NA,NA
ES-Pdu,NA,NA,NA,NA,"Inactive, core measurements no longer being made",Spain,Padul,37.01698,-3.60923,NA,CRO,Croplands,NA,NA,NA
ES-PRt,NA,NA,NA,NA,"Active, core measurements presently being made",Spain,Pla de Riart,42.06333,1.51333,NA,WSA,Woody Savannas,NA,NA,NA
ES-QdM,NA,NA,NA,NA,"Inactive, core measurements no longer being made",Spain,Quintos de Mora,39.42691,-4.11717,NA,WSA,Woody Savannas,NA,NA,NA
ES-VDA,NA,NA,NA,"Traditional activities such as cattle raising, wood use and agriculture have contributed to the maintenance of the biodiversity of this region.  Grazed by cattle from June to October or November.","Active, core measurements presently being made",Spain,Vall dAlinya,42.15218,1.4485,1787,SAV,Savannas,NA,NA,NA
ES-Yst,NA,NA,NA,NA,"Active, core measurements presently being made",Spain,Yeste,38.33893,-2.35061,NA,WSA,Woody Savannas,NA,NA,NA
FI-Alk,NA,NA,1,"Alkkia Scots pine forest is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Finland.","Active, core measurements presently being made",Finland,Alkkia Scots pine forest,62.18337,22.78423,165,ENF,Evergreen Needleleaf Forest,NA,NA,NA
FI-Hyy,FALSE,NA,1,"Stand of Pinus sylvestrs planted in 1962. It is of the Vaccinium type  according to the Cajander site class system. It has a typical growth rate of 8 m3/ha/yr. Between January and March 2002, an area of 4.33 ha was manually thinned according to the forest management guidelines for a first commercial thinning. Before the thinning, the height of the dominant stand was around 14 m and the all-sided needle area 8m2/m2 after thinning area was 6m2/m2. The tree biomass is about 68 t/ha (above- and below-ground).","Active, core measurements presently being made",Finland,Hyytiala,61.8475,24.295,181,ENF,Evergreen Needleleaf Forests,73,NA,1
FI-Jo2,NA,NA,9,NA,"Inactive, core measurements no longer being made",Finland,Jokioinen2,60.89903,23.5128,NA,CRO,Croplands,NA,NA,NA
FI-Jo3,NA,NA,9,NA,"Inactive, core measurements no longer being made",Finland,Jokioinen3,60.8988,23.5131,NA,CRO,Croplands,NA,NA,NA
FI-Jok,FALSE,NA,9,Possibly only histosol cropland site,"Inactive, core measurements no longer being made",Finland,Jokioinen,60.8986,23.5135,109,CRO,Croplands,NA,NA,1
FI-Kaa,NA,NA,NA,"Colocated station at Utsjoki-Kevo, Ivalo airport, wetland, north boreal","Active, core measurements presently being made",Finland,Kaamanen wetland,69.14069,27.29503,159,WSA,Woody Savannas,NA,NA,NA
FI-Ken,NA,NA,NA,NA,"Inactive, core measurements no longer being made",Finland,KenttÌ_rova,67.98723,24.24305,337,WSA,Woody Savannas,NA,NA,NA
FI-Kmp,NA,NA,NA,NA,"Active, core measurements presently being made",Finland,Kumpala,60.20289,24.96105,NA,NA,Urban and Built-Up,NA,NA,NA
FI-Kns,NA,NA,1,NA,"Inactive, core measurements no longer being made",Finland,Kalevansuo,60.64683,24.35617,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
FI-Kvr,NA,NA,1,NA,"Active, core measurements presently being made",Finland,KuivajÌ_rvi,61.84667,24.28028,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
FI-Let,NA,NA,1,NA,"Inactive, core measurements no longer being made",Finland,Lettosuo,60.6418,23.9597,119,ENF,Evergreen Needleleaf Forests,NA,NA,NA
FI-Lom,FALSE,NA,11,NA,"Inactive, core measurements no longer being made",Finland,LompolojÌ_nkkÌ_,67.9972,24.20918,274,WET,Permanent Wetlands,NA,NA,1
FI-Sii,NA,NA,1,"Siikaneva is a boreal minerotrophic open wetland located in Southern Finland, 5 km west from SMEAR II site in HyytiÌ_lÌ_","Active, core measurements presently being made",Finland,Siikaneva (NECC),61.83268,24.19278,173,ENF,Evergreen Needleleaf Forest,NA,NA,NA
FI-Skj,NA,NA,1,No description available,"Inactive, core measurements no longer being made",Finland,Siikajoki,64.7807,24.6515,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
FI-Sod,FALSE,NA,1,"Colocated station:  (close to the facilities of FMI-artic research centre), coniferous forest, mediterranean/montane","Active, core measurements presently being made",Finland,Sodankyla,67.361861,26.63783,180,ENF,Evergreen Needleleaf Forests,48,NA,1
FI-Var,NA,NA,1,"Varrio is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Finland.","Active, core measurements presently being made",Finland,Varrio,67.7569,29.616,308,ENF,Evergreen Needleleaf Forest,NA,NA,NA
FI-Ves,NA,NA,1,No description available,"Inactive, core measurements no longer being made",Finland,Vesijako,61.3716,25.1055,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
FR-Aur,NA,NA,9,"Aurade is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in France.","Active, core measurements presently being made",France,Aurade,43.5496,1.10615,258,CRO,Croplands,NA,NA,NA
FR-Avi,NA,NA,9,"Avignon is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in France.","Active, core measurements presently being made",France,Avignon,43.91608,4.87806,33,CRO,Croplands,NA,NA,NA
FR-Bil,NA,NA,NA,"Bilos  (after 6/20/2004) is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in France.","Active, core measurements presently being made",France,Bilos  (after 6/20/2004),44.49389,-0.95594,39,WSA,Woody Savannas,NA,NA,NA
FR-Cou,NA,NA,NA,"Couhins is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in France.","Active, core measurements presently being made",France,Couhins,44.75556,-0.55556,14,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
FR-EM1,NA,NA,9,No description available,"Inactive, core measurements no longer being made",France,EstrÌ©es-Mons,49.87211,3.02065,NA,CRO,Croplands,NA,NA,NA
FR-EM2,NA,NA,9,"This site is very close (circa 200m) to the EstrÌ©es-Mons site, code FR-EsM, already existing in the Database. Because their closeness, weather conditions, footprint, etc, the sites are considered as cluster site and we decided to change the old code FR-EsM in FR-EM1. -- from Eleonora Canfora email 7-9-2015","Active, core measurements presently being made",France,Estrees-Mons A28,49.87211,3.02065,NA,CRO,Croplands,NA,NA,NA
FR-FBn,NA,NA,1,No description available,"Inactive, core measurements no longer being made",France,Font-Blanche,43.24083,5.67917,NA,ENF,Evergreen Needleleaf Forest,NA,NA,NA
FR-Fgs,NA,NA,4,No description available,"Inactive, core measurements no longer being made",France,FougÌ¬res,48.38,-1.18,NA,DBF,Deciduous Broadleaf Forest,NA,NA,NA
FR-Fon,FALSE,NA,4,"Situated about 60 km south-east of Paris, France","Active, core measurements presently being made",France,Fontainebleau-Barbeau,48.4764,2.78014,103,DBF,Deciduous Broadleaf Forests,35,NA,1
FR-Gri,FALSE,NA,9,"Grignon  (after 6/5/2005) is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in France.","Active, core measurements presently being made",France,Grignon,48.84422,1.95191,125,CRO,Croplands,NA,NA,1
FR-Hes,NA,NA,4,"60 km East of Nancy, deciduous broadleaf forest, beech, Experienced damage to the tower after a wind storm in December 1999 and has experienced some thinning management. Most year to year variation in NEE is attributed to drought.  Natural origin and managed, mediterranean/montane climate  Site is subject to dominant winds from the west, with air masses coming from the Atlantic Ocean driven by low pressure systems bringing temperature and humid air and precipitation","Active, core measurements presently being made",France,Hesse Forest- Sarrebourg,48.67416,7.06556,293,DBF,Deciduous Broadleaf Forest,NA,NA,NA
FR-Lam,NA,NA,9,"Lamasquere is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in France.","Active, core measurements presently being made",France,Lamasquere,43.4965,1.2379,182,CRO,Croplands,NA,NA,NA
FR-LBr,FALSE,NA,1,"20 km SW of Bordeaux, colocated station at Belos (CarboAge).  Experienced the 1999 storm and lost a large amount of trees, Mediterranean/montane, evergreen coniferous plantation","Active, core measurements presently being made",France,Le Bray (after 6/28/1998),44.71711,-0.7693,61,ENF,Evergreen Needleleaf Forests,38,NA,1
FR-Lq1,NA,NA,9,"Laqueuille is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in France.","Active, core measurements presently being made",France,Laqueuille,45.64306,2.73583,1066,NA,Croplands,NA,NA,NA
FR-Lq2,NA,NA,9,"Laqueuille extensive is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in France.","Active, core measurements presently being made",France,Laqueuille extensive,45.63919,2.73703,1081,CRO,Croplands,NA,NA,NA
FR-Lus,NA,NA,9,"Lusignan is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in France.","Active, core measurements presently being made",France,Lusignan,46.41557,0.11922,63,CRO,Croplands,NA,NA,NA
FR-Mau,NA,NA,9,No description available,"Inactive, core measurements no longer being made",France,Mauzac,43.38528,1.29222,NA,CRO,Croplands,NA,NA,NA
FR-MsS,NA,NA,4,No description available,"Active, core measurements presently being made",France,Montiers sur Saulx,48.53816,5.31187,NA,DBF,Deciduous Broadleaf Forest,NA,NA,NA
FR-OnV,NA,NA,9,No description available,"Active, core measurements presently being made",France,Osne-le-Val,48.50846,5.21346,NA,CRO,Croplands,NA,NA,NA
FR-Pue,FALSE,NA,2,"40 km NW from Montpellier, Herault, France, last clear cut in 1942, eddy correlation measurements were taken from July 1998 to October 1999 and from August 2000.  A severe summer drought characterized 1998., evergreen, Mediterranean oak woodland/macchia, mediterranean/montane climate","Active, core measurements presently being made",France,Puechabon,43.74139,3.59583,270,EBF,Evergreen Broadleaf Forests,10,NA,1
GF-Guy,FALSE,NA,2,"Undisturbed natural rainforest forest - no known human perturbation for centuries except few, logged trees","Active, core measurements presently being made",French Guiana,Guyaflux (French Guiana),5.278772,-52.92486,48,EBF,Evergreen Broadleaf Forests,55,NA,1
GH-Ank,NA,NA,2,"Ankasa is currently Active, core measurements presently being made.  This site began collecting data in 2008 and is located in Ghana.","Active, core measurements presently being made",Ghana,Ankasa,5.2685,-2.6942,124,EBF,Evergreen Broadleaf Forests,NA,NA,NA
GR-Mog,NA,NA,NA,"Natural forest/deciduous trees (dominate), drought","Active, core measurements presently being made",Greece,Mogostos Forest,38,22.61667,766,WSA,Woody Savannas,NA,NA,NA
GR-Vcs,NA,NA,NA,No description available,"Active, core measurements presently being made",Greece,Vocals,40.88974,24.84893,NA,WSA,Woody Savannas,NA,NA,NA
HU-Bug,NA,NA,NA,"Bugacpuszta is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Hungary.","Active, core measurements presently being made",Hungary,Bugacpuszta,46.6911,19.6013,106,CRO,Croplands,NA,NA,NA
HU-He1,NA,NA,NA,"Located in a flat region of western Hungary, surrounded by agricultural fields and forest patches. The tower is also a NOAA/CMDL global air sampling network site. Measurements of CO2 mixing ratio profiles, temperature, humidity and wind profiles began in September 1994. Flux measurements began in April 1997. The eddy covariance system is operated at 82 m height. Small villages are located with 10 km of the tower, the nearest village being Hegyhatsal about 1 km to the northwest. No notable industrial activity in the area, low levels of traffic.","Active, core measurements presently being made",Hungary,Hegyhatsal,46.95595,16.65202,243,CRO,Croplands,NA,NA,NA
HU-He2,NA,NA,NA,"This new direct flux measuring system developed by the National Institute for Resources and Environment (NIRE, Tsukuba, Japan) was set up at the end of 1998. The scale of the measurement is much smaller so the results will be more representative to the close proximity of the tower.  Will enable detection of possible systematic errors associated with the larger scale measuring system of the first tower.  This tower became operational in 1999 until the beginning of 2001.  As of September 2006, the tower is operational and runs continuously.  This system was installed at the garden fo the tower, above the grass.","Active, core measurements presently being made",Hungary,Hegyhatsal Tower 2,46.95515,16.65266,243,CRO,Croplands,NA,NA,NA
HU-Mat,NA,NA,NA,"Matra is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Hungary.","Active, core measurements presently being made",Hungary,Matra,47.8469,19.726,315,CRO,Croplands,NA,NA,NA
HU-Spr,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",Hungary,Sopron,47.65587,16.45447,NA,MF,Mixed Forests,NA,NA,NA
ID-Buk,NA,NA,2,Top of tower/30m Vegetation type/Tropical forest Age of tree/14 years,"Inactive, core measurements no longer being made",Indonesia,Bukit Soeharto- East Kalimantan,-0.83333,117.05,1,EBF,Evergreen Broadleaf Forest,NA,NA,NA
ID-Kan,NA,NA,NA,No description available,"Active, core measurements presently being made",Indonesia,Kandistasari Research Site,1,101.26667,NA,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA
ID-Pag,NA,NA,2,"Palangkaraya is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Indonesia.","Active, core measurements presently being made",Indonesia,Palangkaraya,-2.345,114.03639,52,EBF,Evergreen Broadleaf Forest,NA,NA,NA
IE-Ca1,NA,NA,9,No description available,"Inactive, core measurements no longer being made",Ireland,Carlow crop,52.85879,-6.91814,NA,CRO,Croplands,NA,NA,NA
IE-Ca2,NA,NA,6,"Carlow1 Ireland is currently Active, core measurements presently being made.  This site began collecting data in 2003 and is located in Ireland.","Active, core measurements presently being made",Ireland,Carlow1 Ireland,52.86758,-6.91117,57,GRA,Grasslands,NA,NA,NA
IE-CLa,NA,NA,NA,"Co.Laois is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Ireland.","Active, core measurements presently being made",Ireland,Co.Laois,52.95,-7.25,140,MF,Mixed Forests,NA,NA,NA
IE-Dgm,NA,NA,6,No description available,"Inactive, core measurements no longer being made",Ireland,Donoughmore,51.98618,-8.75393,NA,GRA,Grasslands,NA,NA,NA
IE-Dri,NA,NA,6,"Dripsey is currently Active, core measurements presently being made.  This site began collecting data in 2003 and is located in Ireland.","Active, core measurements presently being made",Ireland,Dripsey,51.98669,-8.75181,186,GRA,Grasslands,NA,NA,NA
IE-Kil,NA,NA,NA,"Killorglin is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Ireland.","Active, core measurements presently being made",Ireland,Killorglin,51.96836,-9.90031,169,WSA,Woody Savannas,NA,NA,NA
IE-Wex,NA,NA,6,"Wexford is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Ireland.","Active, core measurements presently being made",Ireland,Wexford,52.29819,-6.49978,68,GRA,Grasslands,NA,NA,NA
IL-Yat,NA,NA,5,"Established in April 2000 in the Negev desert, Mediterranean/montane","Active, core measurements presently being made",Israel,Yatir,31.345,35.0515,664,OSH,Open Shrublands,NA,NA,NA
IN-Bet,NA,NA,NA,No description available,"Active, core measurements presently being made",India,Betul Flux Research Site,21.86301,77.42602,NA,WSA,Woody Savannas,NA,NA,NA
IN-Brk,NA,NA,NA,No description available,"Active, core measurements presently being made",India,Barkot Flux Research Site,30.11068,78.20343,NA,MF,Mixed Forests,NA,NA,NA
IN-CRR,NA,NA,NA,No description available,"Inactive, core measurements no longer being made",India,Central Rice Research Institute (CRRI),20.45188,85.94027,NA,CRO,Croplands,NA,NA,NA
IN-Hdw,NA,NA,NA,No description available,"Active, core measurements presently being made",India,Haldwani Forest Plantation,29.14932,79.4211,NA,WSA,Woody Savannas,NA,NA,NA
