,SiteCode,Exclude,Exclude_reason,CABLE_PFT,CABLE_patchfrac,Source_CABLE_PFT,Description,TowerStatus,Country,Fullname,SiteLatitude,SiteLongitude,SiteElevation,IGBP_vegetation_short,IGBP_vegetation_long,Tier,MeasurementHeight,TowerHeight,CanopyHeight,VegetationDescription,SoilType,Disturbance,CropDescription,Irrigation,Reference
241,DE-SfN,FALSE,NA,"1,11","0.5,0.5","Anna (some pines, giving 50:50 fractions)",No description available,"Active, core measurements presently being made",Germany,Schechenfilz Nord,47.806389,11.3275,590,WET,Permanent Wetlands,1,4.3,6,2,"Bog. A wooded area, dominated by slow growing bog-pines (Pinus mugo ssp.rotundata ). The ground layer vegetation is dominantly formed by peat mosses (Sphagnumspp.) in addition to heather (Calluna vulgarisL.),bog bilberry scrubs (Vaccinium uliginosumL.s.l.) ","Pristine peat conditions. High car-bon content of about 50 % and pH values of about 4, indicating the acid environment typical for peat bogs. ",NA,NA,NA,"Hommeltenberg, J., Schmid, H. P., Drösler, M. and Werle, P.: Can a bog drained for forestry be a stronger carbon sink than a natural bog forest?, Biogeosciences, 11(13), 3477–3493, 2014."
242,DE-Sng,NA,NA,1,1,IGBP,No description available,"Inactive, core measurements no longer being made",Germany,Solling,51.75813,9.59333,390,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
243,DE-Sol,NA,NA,1,1,IGBP,Unmanaged mature,"Active, core measurements presently being made",Germany,Solling F1,51.76667,9.58333,484,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
244,DE-Spw,FALSE,NA,11,1,IGBP,No description available,"Inactive, core measurements no longer being made",Germany,Spreewald,51.8923,14.03369,63,WET,Permanent Wetlands,1,NA,NA,NA,NA,NA,NA,NA,NA,
245,DE-Tha,FALSE,NA,1,1,IGBP,"20 km SW of Dresden.  Colocated stations: Wernersbach and Rotherdbach catchment, Rotherdbach tower","Active, core measurements presently being made",Germany,Tharandt,50.963611,13.56694,380,ENF,Evergreen Needleleaf Forests,1,42,42,26.5,"The species of the main canopy are composed of 87% coniferous evergreen (72%Picea abies, 15%Pinus sylvestris) and 13% deciduous (10%Larix decidua, 1%Betula spec. and 2% others). The ground is mainly covered by young Fagus sylvatica (20%) and Deschampsia flexuosa (50%).","A loamy skeleton podsol-brown earth. The soil depth is around 1 m, the depth of the main rooting zone is 35 cm. The soil water field capacity and the wilting point were estimated to 16 Vol-% and 7 Vol-%.",NA,NA,NA,"Grünwald, T. and Bernhofer, C.: A decade of carbon, water and energy flux measurements of an old spruce forest at the Anchor Station Tharandt, Tellus B Chem. Phys. Meteorol., 59(3), 387–396, 2007. #-------# Prescher, A.-K., Grünwald, T., Bernhofer, C., 2010: Land use regulates carbon budgets in eastern Germany: From NEE to NBP. Agricultural and Forest Meteorology, 150, 1016-1025. #-------# T. Grünwald, Ch. Berhofer, 2007: A decade of carbon, water and energy flux measurements of an old spruce forest at the Anchor Station Tharandt. Tellus, 59B, 387–396."
246,DE-Wet,FALSE,NA,1,1,IGBP,"Wetzstein is currently Active, core measurements presently being made.  This site began collecting data in 2001 and is located in Germany.","Active, core measurements presently being made",Germany,Wetzstein,50.4535,11.45753,703,ENF,Evergreen Needleleaf Forest,NA,NA,29.4,22,,,,,,
247,DE-Zrk,NA,NA,11,1,IGBP,No description available,"Active, core measurements presently being made",Germany,Zarnekow,53.8759,12.889,0,WET,Permanent Wetlands,NA,NA,NA,NA,,,,,,"D. Zak, H. Reuter, J. Augustin, T. Shatwell, M. Barth, J. Gelbrecht, and R. J. McInnes. Changes of the CO2 and CH4 production potential of rewetted fens in the perspective of temporal vegetation shifts. Biogeosciences, 12, 2455–2468, 2015. #-------# Dominik Zak, Jörg Gelbrecht. The mobilisation of phosphorus, organic carbon and ammonium in the initial stage of fen rewetting (a case study from NE Germany). Biogeochemistry (2007) 85:141–151. #-------# M. Hahn-Schöﬂ, D. Zak, M. Minke, J. Gelbrecht, J. Augustin, and A. Freibauer. Organic sediment formed during inundation of a degraded fen
grassland emits large ﬂuxes of CH4 and CO2. Biogeosciences, 8, 1539–1550, 2011. #-------# P. Steffenhagen, D. Zak, K. Schulz, T. Timmermann, S. Zerbe. Biomass and nutrient stock of submersed and ﬂoating macrophytes in shallow lakes formed by rewetting of degraded fens. Hydrobiologia (2012) 692:99–109. #-------# Zak, D., Reuter, H., Augustin, J., Shatwell, T., Barth, M., Gelbrecht, J. and McInnes, R. J.: Changes of the CO2 and CH4 production potential of rewetted fens in the perspective of temporal vegetation shifts. Biogeosciences, 12, 2455–2468, 2015."
248,DK-Eng,NA,NA,6,,,No description available,"Inactive, core measurements no longer being made",Denmark,Enghave,55.6905,12.1918,10,GRA,Grasslands,NA,NA,NA,NA,,,,,,
249,DK-Fou,FALSE,NA,9,1,Juergen,"Foulum is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Denmark.","Active, core measurements presently being made",Denmark,Foulum,56.4842,9.58722,51,CRO,Croplands,1,NA,3.5,1,NA,NA,NA,NA,NA,"Soegaard et al. (2003), 10.1016/S0168-1923(02)00177-6"
250,DK-Lva,FALSE,NA,6,1,"Anna (see ref, temperate so setting all C3)","Lille Valby (Rimi) is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Denmark.","Active, core measurements presently being made",Denmark,Lille Valby (Rimi),55.6833,12.0833,-2493,GRA,Grasslands,NA,2.5,NA,0.5,"The area is a conventional Danish agricultural area situated in gently rolling terrain with height variations of less than 5 m in a 1-km radius from the site. In 2006 grass was grown on the site.. Lolium perenne - C3, Phleum pratense - C3",,,,,"Gryning SE, Soegaard H, Batchvarova E (2009) Comparison of regional and ecosystem CO2 fluxes. Boreal Environ Res 14(1):204_212"
251,DK-MkA,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Denmark,Morke E-AR,56.38131,10.39461,10,NA,Grasslands,NA,NA,NA,NA,,,,,,
252,DK-MkG,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Denmark,Morke E-PG,56.38178,10.40312,11,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA,NA,,,,,,
253,DK-MkR,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Denmark,Morke E-RG,56.38179,10.4006,11,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA,NA,,,,,,
254,DK-NuF,FALSE,NA,11,1,IGBP,No description available,"Active, core measurements presently being made",Denmark,Nuuk Fen,64.130833,-51.38611,50,WET,Permanent Wetlands,1,2.1,NA,0.5,NA,NA,NA,NA,NA,
255,DK-RCT,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Denmark,Ris��_ Campus Tower,55.6941,12.08828,15,NA,NA,NA,NA,NA,NA,,,,,,
256,DK-RCW,NA,NA,9,,,No description available,"Active, core measurements presently being made",Denmark,Ris��_ Campus Willow,55.68068,12.1014,14,CRO,Croplands,NA,NA,NA,NA,,,,,,
257,DK-Ris,FALSE,NA,9,1,Juergen,"Risbyholm is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in Denmark.","Active, core measurements presently being made",Denmark,Risbyholm,55.53028,12.09722,24,CRO,Croplands,NA,2,NA,1,,,,,,"Kutsch et al. (2010), 10.1016/j.agee.2010.07.016"
258,DK-SkA,NA,NA,9,,,No description available,"Inactive, core measurements no longer being made",Denmark,Skjern W-AR,55.93777,8.44656,2,CRO,Croplands,NA,NA,NA,NA,,,,,,
259,DK-SkG,NA,NA,9,,,No description available,"Inactive, core measurements no longer being made",Denmark,Skjern W-PG,55.94116,8.44735,2,CRO,Croplands,NA,NA,NA,NA,,,,,,
260,DK-Sor,FALSE,NA,4,1,IGBP,"Mediterranean/montane.  Site is subject to dominant winds from the west, with air masses coming from the Atlantic Ocean driven by low pressure systems bringing temperature and humid air and precipitation","Active, core measurements presently being made",Denmark,Soroe,55.485869,11.64464,40,DBF,Deciduous Broadleaf Forests,1,57,57,25,Beech,NA,NA,NA,NA,"Pilegaard, K., Ibrom, A., Courtney, M. S., Hummelshøj, P. and Jensen, N. O.: Increasing net CO2 uptake by a Danish beech forest during the period from 1996 to 2009, Agric. For. Meteorol., 151(7), 934–946, 2011."
261,DK-Sto,NA,NA,9,,,"Arable land, wheat","Inactive, core measurements no longer being made",Denmark,Store Ebberup,55.4833,11.6333,39,CRO,Croplands,NA,NA,NA,NA,,,,,,
262,DK-SVA,NA,NA,9,,,No description available,"Inactive, core measurements no longer being made",Denmark,Store Vildmose N-AR,57.23313,9.84435,4,CRO,Croplands,NA,NA,NA,NA,,,,,,
263,DK-SVG,NA,NA,9,,,No description available,"Inactive, core measurements no longer being made",Denmark,Store Vildmose N-PG,57.22988,9.83291,4,CRO,Croplands,NA,NA,NA,NA,,,,,,
264,DK-SVR,NA,NA,9,,,No description available,"Inactive, core measurements no longer being made",Denmark,Store Vildmose N-RG,57.23312,9.84462,4,CRO,Croplands,NA,NA,NA,NA,,,,,,
265,DK-Ulb,NA,NA,NA,,,"Ulborg is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Denmark.","Active, core measurements presently being made",Denmark,Ulborg,56.29103,8.42803,39,MF,Mixed Forests,NA,NA,NA,NA,,,,,,
266,DK-ZaF,FALSE,NA,11,1,IGBP,No description available,"Active, core measurements presently being made",Denmark,Zackenberg Fen,74.4814,-20.5545,38,WET,Permanent Wetlands,1,3.5,NA,0.2,"Dominated by sedges and grasses with Eriophorum scheuchzeri (arctic cotton grass), Carex saxatilis, Actagrostis latifolia (arctic reedgrass) and Dupontia psilosantha ",ontinuous permafrost is found in the area with an active upper layer of 40-80 cm depending on the soil type.,NA,NA,NA,
267,DK-ZaH,FALSE,NA,8,1,Anna (see ref),No description available,"Active, core measurements presently being made",Denmark,Zackenberg Heath,74.4732,-20.5503,38,GRA,Grasslands,1,3,NA,0.5,"The study site is located within a Cassiope tetragona tundra heath, dominated by C. tetragona, Dryas integrifolia and Vaccinium uliginosum, with patches of mosses.. dominated by Cassiope tetragona, Dryas integrifolia and Vaccinium uliginosum, accompanied by patches of mosses, Salix arctica and Eriophorum scheuchzeri.",underlain by permafrost; and the maximum thaw depth is ca. 0.8 m in late summer. he soils are slightly acidic; ranging pH 5-5.5 in the top 20_cm ,NA,NA,NA,https://modelevaluation.org/dataSet/display/ehfwELZS5cgEzEN9J
268,EC-APr,NA,NA,NA,,,"The Zhurucay Ecohydrological Observatory of the University of Cuenca is located in the head of a microcatchment of the ___�Cajas Massif UNESCO World Biosphere Reserve_�__ in Southern Ecuador. The site is a tropical alpine grassland of the northern Andes (highlands known as p�_�ramos). Dominant vegetation is tussock grasses (mainly Calamagrostis sp.), cushion plants, and small patches of Polylepis sp. forests and low shrubs. Geomorphology is a U-shaped valley formed by glaciation with an average slope of 17%. Soils types are Andosol (80%), Histosols (Andean wetlands) and Leptosols, all with high organic matter content (>30%) and high water retention (FC mean 0.64v/v). No temperature seasonality is present (mean annual 6__� C), seasonal precipitation is bimodal (mean annual 1154mm), radiation annual mean is 4970 MJ m-2, relative humidity annual mean is 94%, and prevailing winds from northeastern (annual mean speed 3.8 m s-1).","Active, core measurements presently being made",Ecuador,Zhurucay Ecohydrological Observatory _�_� University of Cuenca,-3.06253,-79.23471,3656,NA,NA,NA,NA,NA,NA,,,,,,
269,EE-Aar,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Estonia,Aardlapalu grassland,58.31305,26.74388,52,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA,NA,,,,,,
270,EE-Hi1,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Estonia,Hiiesoo abandoned peat extraction,59.3505,27.1008,42,MF,Mixed Forests,NA,NA,NA,NA,,,,,,
271,EE-Hi2,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Estonia,Hiiesoo active peat extraction,59.3519,27.1016,42,MF,Mixed Forests,NA,NA,NA,NA,,,,,,
272,EE-Jvs,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Estonia,J�_�rvselja,58.27421,27.30995,47,MF,Mixed Forests,NA,NA,NA,NA,,,,,,
273,EE-Ka1,NA,NA,1,1,IGBP,No description available,"Inactive, core measurements no longer being made",Estonia,Kasesoo abandoned peat extraction,59.1411,27.6531,30,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
274,EE-Ka2,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Estonia,Kasesoo active peat extraction,59.1459,27.6636,31,MF,Mixed Forests,NA,NA,NA,NA,,,,,,
275,EE-Ka3,NA,NA,1,1,IGBP,No description available,"Inactive, core measurements no longer being made",Estonia,Kasesoo bog,59.1417,27.6778,28,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
276,EE-Ku1,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Estonia,Kuresoo bog wooded,58.4736,25.2125,34,MF,Mixed Forests,NA,NA,NA,NA,,,,,,
277,EE-Ku2,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Estonia,Kuresoo bog,58.4744,25.2008,33,MF,Mixed Forests,NA,NA,NA,NA,,,,,,
278,EE-Lv1,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Estonia,Lavassaare abandoned peat extraction,58.5727,24.3819,15,MF,Mixed Forests,NA,NA,NA,NA,,,,,,
279,EE-Lv2,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Estonia,Lavassaare drained fen,58.5719,24.3908,14,MF,Mixed Forests,NA,NA,NA,NA,,,,,,
280,EE-Lv3,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Estonia,Lavassaare grass cultivation,58.573,24.3858,15,MF,Mixed Forests,NA,NA,NA,NA,,,,,,
281,EE-Mam,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Estonia,Maima bog,58.5791,24.4266,15,WSA,Woody Savannas,NA,NA,NA,NA,,,,,,
282,EE-Pdv,NA,NA,9,,,No description available,"Inactive, core measurements no longer being made",Estonia,Pudivere grassland,59.0866,26.3744,114,CRO,Croplands,NA,NA,NA,NA,,,,,,
283,EE-Ph1,NA,NA,5,,,No description available,"Inactive, core measurements no longer being made",Estonia,Puhatu abandoned peat extraction,59.2658,27.6316,37,CSH,Closed Shrublands,NA,NA,NA,NA,,,,,,
284,EE-Ph2,NA,NA,5,,,No description available,"Inactive, core measurements no longer being made",Estonia,Puhatu active peat extraction,59.2659,27.6314,37,CSH,Closed Shrublands,NA,NA,NA,NA,,,,,,
285,EE-Rok,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Estonia,Roka,58.24534,27.29973,49,MF,Mixed Forests,NA,NA,NA,NA,,,,,,
286,EE-San,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Estonia,Sangla bog forest,58.32704,26.21819,53,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA,NA,,,,,,
287,EE-Vg1,NA,NA,1,1,IGBP,No description available,"Inactive, core measurements no longer being made",Estonia,Valgeraba bog forest,58.43507,25.23629,31,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
288,EE-Vg2,NA,NA,1,1,IGBP,No description available,"Inactive, core measurements no longer being made",Estonia,Valgeraba bog,58.43662,25.23675,31,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
289,ES-Agu,NA,NA,5,,,"Aguamarga is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Spain.","Active, core measurements presently being made",Spain,Aguamarga,36.94005,-2.03321,195,CSH,Closed Shrublands,NA,NA,NA,NA,,,,,,
290,ES-Amo,NA,NA,5,,,"Amoladeras is currently Active, core measurements presently being made.  This site began collecting data in 2005 and is located in Spain.","Active, core measurements presently being made",Spain,Amoladeras,36.8336,-2.2523,58,OSH,Open Shrublands,NA,3.05,NA,NA,,,,,,"López-Ballesteros, A., Serrano-Ortiz, P., Kowalski, A.S., Sánchez-Cañete, E.P., Scott, R.L. and Domingo F.: Subterranean ventilation of allochthonous CO governs net CO exchange in a semiarid Mediterranean grassland, Agricultural and Forest Meteorology, 234, 115-126, 2017."
291,ES-AP1,NA,NA,NA,,,No description available,"Active, core measurements presently being made",Spain,Almod�_�var del Pinar 1,39.68098,-1.84241,979,WSA,Woody Savannas,NA,NA,NA,NA,,,,,,
292,ES-AP2,NA,NA,NA,,,No description available,"Active, core measurements presently being made",Spain,Almod�_�var del Pinar 2,39.67727,-1.84831,977,WSA,Woody Savannas,NA,NA,NA,NA,,,,,,
293,ES-CMb,NA,NA,NA,,,No description available,"Active, core measurements presently being made",Spain,Cuenca Las Majadas burned,40.25831,-1.96806,1400,WSA,Woody Savannas,NA,NA,NA,NA,,,,,,
294,ES-CMu,NA,NA,1,1,IGBP,No description available,"Active, core measurements presently being made",Spain,Cuenca Las Majadas unburned,40.25207,-1.96478,1372,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
295,ES-CPa,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Spain,Cortes de Pallas,39.22417,-0.90305,754,WSA,Woody Savannas,NA,NA,NA,NA,,,,,,
296,ES-Cst,NA,NA,NA,,,No description available,"Active, core measurements presently being made",Spain,Castellar,42.30501,2.03357,1640,NA,Cropland/Natural Vegetation Mosaic,NA,NA,NA,NA,,,,,,
297,ES-EBn,NA,NA,5,,,No description available,"Active, core measurements presently being made",Spain,El Bonillo,38.93707,-2.64402,959,CSH,Closed Shrublands,NA,NA,NA,NA,,,,,,
298,ES-ES1,FALSE,NA,11,1,IGBP,"20 km S of Valencia, Parque natural de la Albufera, mediterranean subarid, coniferous forest","Active, core measurements presently being made",Spain,El Saler,39.34597,-0.31881,1,ENF,Evergreen Needleleaf Forest,NA,NA,13,7.5,,,,,,
299,ES-ES2,FALSE,NA,9,1,Juergen,"El Saler-Sueca is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in Spain.","Active, core measurements presently being made",Spain,El Saler-Sueca,39.27556,-0.31528,7,CRO,Croplands,NA,NA,1.6,0.5,,,,rice,,"Kutsch et al. (2010), 10.1016/j.agee.2010.07.016"
300,ES-FtD,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Spain,FuenteDuque,36.99818,-6.43457,5,NA,NA,NA,NA,NA,NA,,,,,,
301,ES-Gdn,NA,NA,NA,,,No description available,"Inactive, core measurements no longer being made",Spain,Guadiana,37.91092,-3.22844,446,CRO,Croplands,NA,NA,NA,NA,,,,,,
302,ES-LBr,NA,NA,NA,,,No description available,"Active, core measurements presently being made",Spain,La Bertolina,42.09889,1.66139,921,WSA,Woody Savannas,NA,NA,NA,NA,,,,,,
303,ES-LgS,FALSE,NA,"8,14","0.45,0.55","Anna (tundra, see ref)",No description available,"Inactive, core measurements no longer being made",Spain,Laguna Seca,37.097936,-2.96583,2267,OSH,Open Shrublands,1,1.5,2.25,0.2,"Festuca indigesta and Cytisus purgans are the dominant plant species, reaching to 20 cm height and homogeneously covering 45% of the ground. A remaining 35% corresponds to litter and 20% is bare soil. The presence of other plant species is intermittent throughout the year, and very sparse. Measurements of leaf area index (LAI), assessed with destructive methods, provided an average value of 1.23 m2 /m2 which is approximately constant over the seasons. Festuca indigesta and Cytisus purgans are the dominant plant species","The soil is composed of sand (56%), silt (30%) and clay (14%)  with  a  bulk  density  of  1110 kg m-3,  determined  in situ using soil cores.  The permanent wilting point was estimated at a volumetric water content of 2.6%.  Soil organic matter ranged from 3.9% to 4.6% in the area around the fluxtower. ",NA,NA,NA,"Reverter, B. R., Sánchez-Cañete, E. P., Resco, V., Serrano-Ortiz, P., Oyonarte, C. and Kowalski, A. S.: Analyzing the major drivers of NEE in a Mediterranean alpine shrubland, Biogeosciences, 7(9), 2601–2611, 2010."
304,ES-LJu,NA,NA,NA,,,"Llano de los Juanes is currently Active, core measurements presently being made.  This site began collecting data in 2004 and is located in Spain.","Active, core measurements presently being made",Spain,Llano de los Juanes,36.9266,-2.7521,1600,OSH,Open Shrublands,NA,2.5,NA,0.5,,,,,,"Serrano-Ortiz, P., Domingo, F., Cazorla,  A., Were, A., Cuezva, S., Villagarcía, L., Alados-Arboledas, L. and Kowalski, A.S.: Interannual CO2 exchange of a sparse Mediterranean shrubland on a carbonaceous substrate, J. Geophys. Res., 114, G04015, 2009."
305,ES-LM1,NA,NA,NA,,,No description available,"Active, core measurements presently being made",Spain,Majadas del Tietar North,39.94269,-5.77868,274,SAV,Savannas,NA,NA,NA,NA,,,,,,
306,ES-LM2,NA,NA,NA,,,No description available,"Active, core measurements presently being made",Spain,Majadas del Tietar South,39.94269,-5.77868,274,WSA,Woody Savannas,NA,NA,NA,NA,,,,,,
307,ES-LMa,FALSE,NA,"2,6","0.2,0.8","Anna (changing from CSH based on site pictures, see vegetation description for fraction)","Las Majadas del Tietar is currently Active, core measurements presently being made.  This site began collecting data in 2003 and is located in Spain.","Active, core measurements presently being made",Spain,Las Majadas del Tietar,39.94269,-5.77336,278,SAV,Savannas,NA,NA,15,8,"The station is located in a typical dehesa from Extremadura, a managed open holm-oak woodland ecosystem with herbaceous vegetation that is used for extensive grazing. The tree layer is composed by scattered trees, mostly of Quercus ilex subsp. ballota L., a broadleaf evergreen species. The average tree density is approximately 25 trees per hectare and the fractional cover is about 20%. The mean tree height is about 8 m and mean DBH about 45 cm. The grass layer present high biodiversity. It is rich in species such as Rumex acetosella L., Erygium campestre L., Erodium cicutarium L. or Erodium botrys (Cav.). Herbaceous vegetation usually peak in spring, senesce by summer, regrow during autumn after the first important rainfalls. Management typically consists of a continuous extensive grazing by cattle (low density about 0.3 cow/ha) from late autumn to early summer, maintaining the grass layer shorter than 30 cm, about 10-20cm high.",,,,,http://ceamflux.com:9090/majadas/index.html
308,ES-Ln1,NA,NA,NA,,,NA,"Inactive, core measurements no longer being made",Spain,Lanjaron-Non intervention,36.9721,-3.47385,1631,CSH,Closed Shrublands,NA,NA,NA,NA,,,,,,
309,ES-Ln2,FALSE,NA,5,,,NA,"Inactive, core measurements no longer being made",Spain,Lanjaron-Salvage logging,36.969502,-3.47582,2249,OSH,Open Shrublands,1,10,"6.6 before fire
",NA,"Current vegetation is mainly composed by grass and forbs typical of disturbed areas in the Oromediterranean belt the most common perennial species being Genista versicolor, Festuca spp. and Sessamoides prostata. The dominant pine species present before the wildfire was Pinus sylvestris.",Humic cambisols,"In September  2005,  a  wildfire  burned  ca.  1300  ha  of  reforested  pine  between  35  and  45 years  age. ",NA,NA,
310,ES-MtN,NA,NA,NA,,,NA,"Inactive, core measurements no longer being made",Spain,MonteNegro,36.9918,-6.48263,2,NA,NA,NA,NA,NA,NA,,,,,,
311,ES-Pdu,NA,NA,NA,,,NA,"Inactive, core measurements no longer being made",Spain,Padul,37.01698,-3.60923,733,CRO,Croplands,NA,NA,NA,NA,,,,,,
312,ES-PRt,NA,NA,NA,,,NA,"Active, core measurements presently being made",Spain,Pla de Riart,42.06333,1.51333,910,WSA,Woody Savannas,NA,NA,NA,NA,,,,,,
313,ES-QdM,NA,NA,NA,,,NA,"Inactive, core measurements no longer being made",Spain,Quintos de Mora,39.42691,-4.11717,840,WSA,Woody Savannas,NA,NA,NA,NA,,,,,,
314,ES-VDA,FALSE,NA,6,1,Juergen,"Traditional activities such as cattle raising, wood use and agriculture have contributed to the maintenance of the biodiversity of this region.  Grazed by cattle from June to October or November.","Active, core measurements presently being made",Spain,Vall dAlinya,42.15218,1.4485,1787,GRA,Grasslands,NA,1.5,NA,0.5,"a grassland located in a plain (42 � 12'N, 1 � 27'E) dominated by herbaceous species, with some isolated bushes (Juniperus communis) and surrounded by forests of Pinus uncinata. Festuca ovina (55%) - C3, Festuca rubra ssp commutata (15%) - C3, Potentilla pneumoniana (7,5%) -C3, Phleum pratense (5,5%) - C3, Thymus serpyllum (4,5%)",,,,,http://ceamflux.com:9090/alinya/index.html
315,ES-Yst,NA,NA,NA,,,NA,"Active, core measurements presently being made",Spain,Yeste,38.33893,-2.35061,894,WSA,Woody Savannas,NA,NA,NA,NA,,,,,,
316,FI-Alk,NA,NA,1,1,IGBP,"Alkkia Scots pine forest is currently Active, core measurements presently being made.  This site began collecting data in 2002 and is located in Finland.","Active, core measurements presently being made",Finland,Alkkia Scots pine forest,62.18337,22.78423,165,ENF,Evergreen Needleleaf Forest,NA,NA,NA,12,,,,,,
317,FI-Hyy,FALSE,NA,1,1,IGBP,"Stand of Pinus sylvestrs planted in 1962. It is of the Vaccinium type  according to the Cajander site class system. It has a typical growth rate of 8 m3/ha/yr. Between January and March 2002, an area of 4.33 ha was manually thinned according to the forest management guidelines for a first commercial thinning. Before the thinning, the height of the dominant stand was around 14 m and the all-sided needle area 8m2/m2 after thinning area was 6m2/m2. The tree biomass is about 68 t/ha (above- and below-ground).","Active, core measurements presently being made",Finland,Hyytiala,61.8475,24.295,181,ENF,Evergreen Needleleaf Forests,1,23,73,14,Scots  pine (Pinus  sylvestris L.),"Sandy and coarse silty glacial 
till",NA,NA,NA,"Suni, T., Rinne, J., Reissell, A., Altimir, N., Keronen, P., Rannik, Ü., Maso, M. D., Kulmala, M. and Vesala, T.: Long-term measurements of surface fluxes above a Scots pine forest in Hyytiälä, southern Finland, 1996–2001, BOREAL ENVIRONEMNT RESEARCH, 8, 287–301, 2003."
318,FI-Jo2,NA,NA,9,,,NA,"Inactive, core measurements no longer being made",Finland,Jokioinen2,60.89903,23.5128,124,CRO,Croplands,NA,NA,NA,NA,,,,,,
319,FI-Jo3,NA,NA,9,,,NA,"Inactive, core measurements no longer being made",Finland,Jokioinen3,60.8988,23.5131,124,CRO,Croplands,NA,NA,NA,NA,,,,,,
320,FI-Jok,FALSE,NA,9,,,Possibly only histosol cropland site,"Inactive, core measurements no longer being made",Finland,Jokioinen,60.8986,23.5135,109,CRO,Croplands,1,3,NA,NA,Agricultural area,Terric histosol: peat and mud. ,"Fertilizer, ploughing (2000), harvesting","Forage ley (a mixture of Phleum pratense and Festuca pratensis (1996), oats (Avena sativa L.), barley (Hordeum vulgare L.) and forage ley in 1997, and with barley and oats in 1998-2000. In 2000, spring barley (H. vulgare L., Inari) and undersown grass (76 % of P. pratense and 24 % of F. pratensis)",NA,"Lohila, A., Aurela, M., Tuovinen, J.-P. and Laurila, T.: Annual CO2 exchange of a peat field growing spring barley or perennial forage grass, J. Geophys. Res., 109(D18), D18116, 2004."
321,FI-Kaa,FALSE,NA,11,1,IGBP,"Colocated station at Utsjoki-Kevo, Ivalo airport, wetland, north boreal","Active, core measurements presently being made",Finland,Kaamanen wetland,69.14069,27.29503,159,WET,Permanent Wetlands,NA,5,5,0.8,,,,,,
322,FI-Ken,NA,NA,NA,,,NA,"Inactive, core measurements no longer being made",Finland,Kentt�_�rova,67.98723,24.24305,337,WSA,Woody Savannas,NA,NA,NA,NA,,,,,,
323,FI-Kmp,NA,NA,NA,,,NA,"Active, core measurements presently being made",Finland,Kumpala,60.20289,24.96105,NA,NA,Urban and Built-Up,NA,NA,NA,NA,,,,,,
324,FI-Kns,NA,NA,1,1,IGBP,NA,"Inactive, core measurements no longer being made",Finland,Kalevansuo,60.64683,24.35617,138,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
325,FI-Kvr,NA,NA,1,1,IGBP,NA,"Active, core measurements presently being made",Finland,Kuivaj�_�rvi,61.84667,24.28028,180,ENF,Evergreen Needleleaf Forest,NA,NA,NA,NA,,,,,,
